26-07-23,A,33005,,19226,,110117,,19226,110117
26-07-23,B,33005,,18433,,110117,,18433,110117
26-07-23,C,33005,,19130,,110117,,19130, 
26-07-23,A,33006,,19226,,112200,,19226,112200
26-07-23,B,33006,,18433,,110124,,18433,112200
26-07-23,C,33006,,T2336,,112200,,T2336, 
26-07-23,A,33007,,18655,,110117,,18655,110117
26-07-23,B,33007,,T2554,,111189,,T2554,110117
26-07-23,C,33007,,51145,,110117,,51145, 
26-07-23,A,33008,,18655,,110117,,18655,110117
26-07-23,B,33008,,T2554,,110117,,T2554,110117
26-07-23,C,33008,,18272,,110117,,18272, 
26-07-23,A,33009,,51155,,112194,,51155,112194
26-07-23,B,33009,,19401,,112194,,19401,112194
26-07-23,C,33009,,C6834,,112194,,C6834, 
26-07-23,A,33010,,51155,,112179,,51155,112179
26-07-23,B,33010,,19401,,112179,,19401,112179
26-07-23,C,33010,,T9710,,112200,,T9710, 
26-07-23,A,33011,,18247,,112194,,18247,112194
26-07-23,B,33011,,18507,,112194,,18507,112194
26-07-23,C,33011,,51144,,112194,,51144, 
26-07-23,A,33012,,18247,,112200,,18247,112200
26-07-23,B,33012,,18507,,112200,,18507,112200
26-07-23,C,33012,,18390,,112200,,18390, 
26-07-23,A,33013,,18851,,112179,,18851,112179
26-07-23,B,33013,,T9439,,112179,,T9439,112179
